author,year,category,sub_category_I,sub_category_II,task,sub_task,title,journal,ml_type,neuralNetwork_type,neuralNetwork_name,hiddenLayers,training_process,inputs,outputs,data_domain,data_type,data_size,performance_metrice,performance_score,baseline,notes
Lin,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Researching significant earthquakes in Taiwan using two back‑propagation neural network models,Natural Hazards,['ANN'],['FC'],[],"[10, 10]",['Supervised_Learning'],"['occurred time', 'epicenter', 'depth', 'slip rate']",['richter magnitude'],['feature'],['field'],[],[],[],[]," C1 - Two back-propagation neural networks (BPNNs)— (1) an embedded earthquake Richter magnitude (ML) prediction BPNN model and (2) an active probability BPNN model—are used to predict recurrence times over 500 years. This study uses EEMPBPNN and PBNNM to predict recurrence time in 500 years for the 1999 Chi-Chi, the 1906 Meishan and the 1951 Hualien earthquakes and the probability of these earthquakes recurring time. "
Mignan,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Neural Network Applications in Earthquake Prediction (1994–2019): Meta‐Analytic and Statistical Insights on Their Limitations,SRL,['ANN'],['FC'],[],[11],['Supervised_Learning'],"['a-value', 'b-value', 'the maximum of magnitude vector', 'the mean of the magnitude vector', 'the mean of the time interval between two events', 'the variance of the time interval between two events']",['Pr(m > mth)'],['feature'],['synthetic'],[1000],[],[],[],* - C22 
Mulia,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Applying a Deep Learning Algorithm to Tsunami Inundation Database of Megathrust Earthquakes,JGR,['ANN'],['FC'],[],"[500, 1000, 2000, 4000]",['Supervised_Learning'],[],[],[],[],[532],[],[],[]," C1 - [has some issues] grids. We generate 532 source scenarios of interplate earthquakes (Mw 8–9) along the Japan Trench subduction zone to simulate tsunamis and utilize a precalculated library for deep learning. To test the proposed method, we consider a realistic source model inferred from static ground displacements and offshore tsunami data presumably available in real‐time and compare forecasted inundation heights against observations in Rikuzentakata and Otsuchi cities associated with the 2011 Tohoku‐oki tsunami."
Yamaga,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Machine Learning Approach to Characterize the Postseismic Deformation of the 2011 Tohoku‐Oki Earthquake Based on Recurrent Neural Network,GRL,['ANN'],['RNN'],['LSTM'],[32],['Supervised_Learning'],['horizontal surface displacements by GPS'],[],[],['field'],[191],[],[],[],"C3 -  Here we introduce a machine learning approach, the recurrent neural network, to more accurately forecast postseismic deformation and constrain its characteristics. We use Global Navigation Satellite System time.series data (horizontal components) from northeastern Japan since the 2011 Tohoku.oki megathrust earthquake to assess the feasibility of this machine.learning approach. "
Zhu,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Reinforcement Learning of Spatio-Temporal Point Processes,arXive,['ANN'],['FC'],[],"[64, 64, 64]",['Reinforcement_Learning'],[],[],[],['synthetic'],[16400],"['the average Mean Square Error (MSE) of the one-step ahead prediction', 'the maximum mean discrepancy (MMD) metric between the real observed sequences and the generated sequences from the models']",[],"['ETAS', 'Random uniform', 'reinforcement learning point processes model']"," @@ - *C4 - semi-parameteric, interpretable (as opposed to fully neural network based ones) but can capture complex spatial dependency (as opposed to ETAS) - present a flexible approach to model complex spatio-temporal relationships among earthquakes. In this approach, a flexible heterogeneous mixture of Gaussian diffusion kernels is used for an interpretable modeling of complex anisotropic spatial dependency in seismic events. The parameters of these Gaussian diffusion kernels are reparameterized by deep neural networks and learned from training data using an imitation learning approach. The reinforcement learning procedure used for the model fitting doe not rely on exact model specification and directly uses the divergence between the empirical distributions of the training data and the model-generated data. "
Banna,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Attention-Based Bi-Directional Long-Short Term Memory Network for Earthquake Prediction,IEEE-Access,['ANN'],"['RNN', 'FC']","['LSTM', 'Attention']","[200, 100, 25, 12, 12, 12, 2]",['Supervised_Learning'],"['used 8 seismicity indicators, b-value (b), mean square deviation (MSD), magnitude decit (MD), elapsed days (ED), mean magnitude (MM), rate of the square root of energy released (RSRER), mean time between characteristic events (MTBCE), and coefcient of variation from mean time (CVFMT)']",['earthquake or not'],['feature'],['field'],[1764],[],[0.75],[], an earthquake occurrence and location prediction model is proposed. used seismic indicators from the earthquake catalog of Bangladesh as features to predict earthquakes of the following month. a regression model was built using LSTM and dense layers to predict the earthquake epicenter as a distance from a predefined location
Tehseen,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,A framework for the prediction of earthquake using federated learning,PeerJ Computer Science,"['ANN', 'DT', 'KNN', 'RF']",['FC'],[],"[5, 5, 5]","['Federated_Learning', 'Supervised_Learning']","['max mag', 'seismicity level', 'depth', 'mag ratio', 'temperature', 'pressure', 'rainfall', 'water level', 'water state', 'saturation format']",[],['feature'],['field'],[3000000],"['Precision', 'Recall', 'F1-Score']",[0.89],[], applied federated learning technique for earthquake prediction in Western Himalayan region by training ML based local data models onsite and transporting those models to the central server where the global data model is trained by their aggregation. A stacking classifier has been trained on a global data model to generate earthquake predictions.
Yousefzadeh,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Spatiotemporally explicit earthquake prediction using deep neural network,Soil Dynamics and Earthquake Engineering,"['ANN', 'SVM', 'DT']",['FC'],[],"[256, 512, 521, 256, 256, 128]",['Supervised_Learning'],"['19 parameters including 16 seismic parameters, latitude, longitude, and Depth']",['maximum magnitude of the next seismic event occurring in the next seven days'],['feature'],['field'],[],"['Information Gain analysis', 'Accuracy', 'Sensitivity', 'Positive Predictive Value', 'Negative Predictive Value', 'Specificity']",[0.8],[]," deep-learning does not help - Introduces and investigate the role of a spatial parameter, called Fault Density (FD), on the Accuracy of short-term earthquake prediction models that work based on ML algorithms. In particular, the performance of three well-known ML algorithms of SVM, DT, and Shallow Neural Network with one hidden layer (SNN) are compared to those of the DNN (Deep Neural Network) algorithm for short-term prediction in a spatio-temporal setting. In this study, the problem of earthquake prediction is considered as a classification problem."
Shokouhi,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,Deep Learning Can Predict Laboratory Quakes From Active Source Seismic Data,GRL,['ANN'],['RNN'],['LSTM'],['?'],['Supervised_Learning'],[],[],[],['field'],[],[],[],[],"we continuously record ultrasonic data during a series of experiments designed to simulate earthquakes in the laboratory or laboratory quakes. We investigate whether machine learning can predict the occurrence of laboratory quakes from ultrasonic data. We apply XGBoost and a suite of deep learning methods to this data and present models that can accurately predict the laboratory quake timing, size or both. We compare the performance of different models in terms of accuracy and training time. "
Kavianpou,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Earthquake Prediction'], ,A CNN-BiLSTM Model with Attention Mechanism for Earthquake Prediction,arXive,['ANN'],"['RNN', 'CNN']",['LSTM'],"['?', '?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],[],['field'],[],[],[],[], *$* 
Kerh,2005,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Neural network estimation of ground peak acceleration at stations along Taiwan high-speed rail system,Engineering Applications of Artificial Intelligence,['ANN'],['FC'],[],"[3, 2]",['Supervised_Learning'],"['epicentral distance', 'focal depth', 'magnitude']",['PGA'],['Time'],['field'],[],[],[],[], @@ 
Güllü,2007,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,A neural network approach for attenuation relationships: An application using strong ground motion data from Turkey,Engineering Geology,['ANN'],['FC'],[],"[3, 2]",['Supervised_Learning'],"['magnitude', 'distance', 'site conditions']",['PGA'],[],['field'],[450],['R_square'],[],[]," presents an application of neural network approach for the prediction of peak ground acceleration (PGA) using the strong motion data from Turkey, as a soft computing technique to remove uncertainties in attenuation equations. The input variables in the constructed artificial neural network (ANN) model were the magnitude, the source-to-site distance and the site conditions, and the output was the PGA. The generalization capability of ANN algorithms was tested with the same training data."
Ahmad,2008,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Neural Network Based Attenuation of Strong Motion Peaks in Europe,Journal of Earthquake Engineering,['ANN'],['FC'],[],['?'],['Supervised_Learning'],"['distance', 'site-condition', 'surface magnitude']",['PGA'],['Time'],['field'],[358],[],[],[]," used ANN to develop attenuation relation for PGA, peak ground velocity (PGV) and peak ground displacement (PGD) for Europe using 358 ground motion records "
Günaydın,2008,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Peak ground acceleration prediction by artificial neural networks for northwestern Turkey,Mathematical Problems in Engineering,['ANN'],['FC'],[],['?'],['Supervised_Learning'],"['earthquake moment magnitud', 'hypocentral distance', 'focal depth', 'site conditions', 'direction of the maximum PGA of the three components']","['PGA-V', 'PGA-EW', 'PGA-NS']",[],['field'],[95],[],[],[]," Three different artificial neural network ANN methods, namely, feed-forward back-propagation FFBP, radial basis function RBF, and generalized regression neural networks GRNNs were applied to predict peak ground acceleration PGA"
Kuyuk,2009,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Real-Time Ground Motion Forecasting Using Front-Site Waveform Data Based on Artificial Neural Network,Journal of Disaster Research,['ANN'],['FC'],[],"[16, 14, 5]",['Supervised_Learning'],"['Source Location', 'Magnitude', 'P-wave', 'Station Location', 'Site class']","['PGA', 'PGV']",[],['field'],[160],[],[],[]," presents a methodology based on artificial neural networks (ANN) for the forward forecasting of ground motion parameters, not only peak ground acceleration and velocity but also spectral information before S wave arrival using the initial P waveform at a front site."
Derras,2012,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Adapting the Neural Network Approach to PGA Prediction: An Example Based on the KiK-net Data,BSSA,['ANN'],['FC'],[],[20],['Supervised_Learning'],"['Mw', 'focal depth', 'epicentral distance R', 'site resonance frequency f0', 'Vs30']",['PGA'],[],['field'],[3891],[],[],[]," * used neural networks (ANNs) to develop a GMPE for Japan. The model takes the moment magnitude (Mw), the focal depth, the epicentral distance (R), the site resonance frequency (f0), and the time‐averaged shear‐wave velocity down to 30 m (VS30) as inputs and outputs the horizontal peak ground acceleration (PGA). "
Derras,2014,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Towards fully data driven ground-motion prediction models for Europe,Bulletin of Earthquake Engineering,['ANN'],['FC'],[],[5],['Supervised_Learning'],"['moment magnitude MW', 'Joyner–Boore distance', 'focal mechanism', 'hypocentral depth', 'the site proxy VS30']","['PGA', 'PGV', 'PSA@100HZ', 'PSA@25HZ']",['time'],['field'],[2520],[],[],[]," used a feed-forward Neural Network to drive a GNPE for Europe (RESORCE) that outputs ground motion parameters (i.e., peak ground acceleration (PGA), peak ground velocity (PGV) and 5 %-damped pseudo-spectral acceleration (PSA) at 62 periods from 0.01 to 4 s) based on 5 input parameters (the moment magnitude 𝑀𝑊, the Joyner–Boore distance 𝑅𝐽𝐵, the focal mechanism, the hypocentral depth, and the site proxy 𝑉𝑆30). "
Dhanya,2018,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Ground Motion Prediction Model Using Artificial Neural Network,Pure and Applied Geophysics,['ANN'],['FC'],[],[5],['Supervised_Learning'],"['moment magnitude', 'closest distance to rupture plane', 'shear wave velocity', 'focal mechanism']","['PGV', '5% damped spectral acceleration']",[],['field'],[13552],[],[],[], used neural networks (ANN) in developing a ground motion prediction equation for shallow crustal earthquakes.
Khosravikia,2019,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,"Artificial Neural Network‐Based Framework for Developing Ground‐Motion Models for Natural and Induced Earthquakes in Oklahoma, Kansas, and Texas",SRL,['ANN'],['FC'],[],[4],['Supervised_Learning'],"['M', 'Vs30', 'R']","['PGA', 'PGV', 'PSA']",[],['field'],[4528],"['R', 'MAE']",[],"['HA15', 'A15', 'BSSA14']"," @@ used neural networks to develop a site-specific GMPE for natural and induced earthquakes in Oklahoma, Kansas, and Texas. The developed GMMs aim to predict peak ground acceleration (PGA), peak ground velocity (PGV), as well as 5% damped elastic pseudospectral accelerations at different periods, denoted by PSAT, in which T is the considered period based on magnitude, distance, and site condition. "
Wiszniowski,2019,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Estimation of a ground motion model for induced events by Fahlman's Cascade Correlation Neural Network,Computers & Geosciences,['ANN'],['FC'],[],"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",['Supervised_Learning'],"['log distance', 'magnitude']",['logarithm of the peak horizontal acceleration (PHA)'],[],['field'],[2991],"['R_square', 'F-score']",[],[], @@ Used a Fahlman’s Cascade Correlation (FCC) Neural Network to develop a GMM to predict peak ground motion of the horizontal components based on magnitude and log distance. The FCC is a kind of adaptive neural network starting from a linearized regression estimator and neurons/layers are added to the network one-by-one to gradually improve the estimation by increasing the nonlinearity of the system. 
Derakhshani,2019,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Predicting the principal strong ground motion parameters: A deep learning approach,Applied Soft Computing Journal,['ANN'],['FC'],[],"[100, 250, 120, 60]",['Supervised_Learning'],"['earthquake magnitude', 'rake angle', 'source to site distance', 'Vs30']","['PGA', 'PGV', 'PSA']",['time'],['field'],[12556],"['MAE', 'MAPE', 'RMSE']",[],[]," deep neural network (DNN) is employed for predicting the strong ground motion parameters such as peak ground acceleration (PGA), peak ground velocity (PGV) and peak ground displacement (PGD) from four input parameters (based on earthquake magnitude, rake angle, source to site distance and soil shear wave velocity.)"
Withers,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,A Machine Learning Approach to Developing Ground Motion Models From Simulated Ground Motions,GRL,['ANN'],['FC'],[],['?'],['Supervised_Learning'],"['Mw', 'rake', 'dip', 'width', 'Rx', 'Rrup', 'Rjb', 'Vs30', 'Z1', 'Z2.5']",['RotD50 spectral accelerations at periods of 0.1 to 10 s.'],[],['synthetic'],[],[],[],[]," @@ - used neural networks to build a ground motion model (GMM) from a synthetic database of ground motions generated for rupture scenarios in  Southern California. Comparing their ANN-based GMM generated from synthetic data with empirically based GMMs derived from observational data from around the world, they found both models fit the recorded ground motions similarly. A benefit to keeping the neural network model architecture simple, using just one single hidden layer, is that we can compute the significance percentage of each parameter, as a function of period, by summing the contribution from the weights multiplied by each predictor variable in a forward pass through the network."
Wang,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Accounting for Uncertainties of Magnitude‐ and Site‐Related Parameters on Neural Network‐Computed Ground‐Motion Prediction Equations,BSSA,['ANN'],['FC'],[],[5],['Supervised_Learning'],"['MW', 'Rjb', 'Vs30']","['SA', 'PGA']",[],['field'],[5882],['R'],[],[], @@ - Proposed a generalized least squares approach for training of neural-network-based GMM models to incorporate the uncertainty of the input data (i.e. magnitude- and site-related parameters) and showed that considering errors in input parameters can reduce the epistemic uncertainties in predicted ground shaking levels. 
Ji,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Prediction of Ground-Motion Parameters for the NGA-West2 Database Using Refined Second-Order Deep Neural Networks,BSSA,['ANN'],['FC'],[],"[30, 30, 30]",['Supervised_Learning'],"['structural period T', 'fault type', 'moment magnitude M', 'RJB distance', 'region', 'VS30', 'basin depth Z1', 'depth to the top of rupture ZTOR']","['PGV', 'PGA', 'PSA']",[],['field'],[20900],"['R2', 'RMSE', 'MSE']",[],[], @@ - develops a deep neural network (DNN) trained by the recordings from the Pacific Earthquake Engineering Research Center (PEER) Next Generation Attenuation-West2 Project (NGA-West2) database
Hsu,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],EEW,Peak ground acceleration estimation using P-wave parameters and horizontal-to-vertical spectral ratios,Terr. Atmos. Ocean. Sci.,['ANN'],['FC'],[],"[10, 10]",['Supervised_Learning'],[],['PGA'],[],['field'],[530000],[],[],[]," In order to accommodate site effects using site parameters together with P-wave parameters, this paper takes advantage of machine learning to consider multiple parameters simultaneously. Several artificial neural network (ANN) models considering different site effect parameters are constructed. It was found that the proposed ANN model with horizontal-to-vertical spectral ratio parameters effectively reduces the error of the estimated PGA when compared with either the ANN model without site parameters or the ANN model with other site parameters. including the average shear wave velocity of soil, i.e., Vs30, does not improve the PGA pre diction accuracy."
Hsu,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],EEW,Onsite Early Prediction of PGA Using CNN With Multi-Scale and Multi-Domain P-Waves as Input,Frontiers in Earth Science,['ANN'],"['CNN', 'FC']",[],"[16, 32, 128, 128]",['Supervised_Learning'],['the log of absolute value of 3s P-wave at a single station'],['PGA for 3 components'],"['time', 'frequency']",['field'],[10000],"['RMSLE', 'std', 'precision', 'recall', 'F-score']",[],"['GMPE', 'SVR']"," @@ - single-station, waveform - used CNN to predict the coming peak ground shaking to a station based on the first 3 s post triggering waveform observed on the station. A multi-domain multi-scale of the input waveform is used to compensate for the variations among strong motions of small and large events to improve the performance.  The proposed deep-learning approach could accurately predict the PGAs based on only the first few seconds of P-wave when an earthquake does not have a  long and complex rupture process. "
Jozinović,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],EEW,Rapid prediction of earthquake ground shaking intensity using raw waveform data and a convolutional neural network,GJI,['ANN'],"['CNN', 'FC']",[],"[32, 64, 64, 39]",['Supervised_Learning'],['multi-station waveform'],"['PGA', 'PGV', 'SA0.3', 'SA1.0', 'SA3.0']",[],['field'],[1700],[],[],[], @@ - Proposed a deep-learning approach for a rapid estimation of ground shaking parameters such as PGA and PGV at a fixed set of stations directly  from a short window (~ 10 s) of 3C acceleration waveform observed right after an earthquake origin time. Thus no information for earthquake source or site condition is required unlike conventional GMPEs or other AI-based GMMs.  The result of this study suggests that a network-level pattern of ground motion propagation contains enough information for a deep CNN to nowcast the maximum ground shaking levels at more distant stations that have not been shaken  by the earthquake waves yet based on those stations that have been. The proposed CNN model shows similar error variance but smaller bias compared to a traditional GMPE model. 
Münchmeyer,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],EEW,The transformer earthquake alerting model: A new versatile approach to earthquake early warning,GJI,['ANN'],"['FC', 'CNN']",['Transformer'],"[8, 32, 64, 128, 32, 32, 16, 500, 500, 500, 500, 500, 500, 500, 500, 500, 150, 100, 50, 30, 10]",['Supervised_Learning'],"['multi_station 3C strong motion at surface and borehole (6 X 30 s)', 'station coordinates', 'target coordinates']",[' one vector of predicted ground motions at eah target station'],['time'],['field'],[20000],"['Precision', 'Recall', 'F1-score']",[],"['PLUM', 'EPS']"," @@ Developed a framework for estimating the peak ground acceleration (PGA) at locations of interests based on the observed strong motion data on a set of seismic stations. In this framework, a deep neural network based on Transformer architecture is used to encode multi-channel full waveform acceleration data  and their implicit station location info, and provide a vector feature at target locations. Then a mixture density network is used to estimate the PGA for each target station based on these features. This approach is flexible to work on an arbitrary number of stations at arbitrary locations. Applying the method to  Japan and Italy, it outperforms existing early warning methods and was shown that this approach could handle large events that are underrepresented in the training set through domain adaptation. "
Otake,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],EEW,Deep Learning Model for Spatial Interpolation of Real‐Time Seismic Intensity,SRL,['ANN'],"['RNN', 'FC']",['LSTM'],"[50, 50]",['Supervised_Learning'],['One second data on multiple stations'],['intensity estimates for 3C acceleration on multiple stations'],[],['field'],[2500],[],[],[], @@ - Developed a deep recurrent neural network for real-time estimation of seismic intensity at a set of  target locations directly based on the observed ground motions at a set of sparse stations in the surrounding area.  Thus no explicit knowledge of earthquake source or site condition is required.
Smith,2020,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],Travel_Time,EikoNet: Solving the Eikonal Equation With Deep Neural Networks,IEEE-TGRS,['ANN'],['FC'],['PINN'],"[32, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 32]",['Supervised_Learning'],"['Cartesian coordinates of the source and receiver [Xs , Ys, Zs, Xr, Yr, Zr]']",['the seismic velocity at the receiver location'],['velocity'],[],[1000000],['RMS'],[],['fast marching methods (FMMs)']," developed a PINN approach to solving the factored Eikonal equation (EikoNet), which trains a deep neural network to calculate the travel-time between any two points in a 3D medium for a given velocity model, satisfying the additional boundary condition that the travel-time at the source location equals zero"
Waheed,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],Travel_Time,PINNeik: Eikonal solution using physics-informed neural networks,Computers & Geosciences,['ANN'],['FC'],['PINN'],"[2, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",['Unsupervised_Learning'],"['x', 'y']",['travel time factor'],[],[],[],[],[],['FSM'], 
Khoshnevis,2019,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],PGA,Application of Pool‐Based Active Learning in Physics‐Based Earthquake Ground‐Motion Simulation,SRL,['ANN'],['FC'],[],"[9, 9]","['Active_Learning', 'Supervised_Learning']","['a', 'b', 'c']",['PGV'],['time'],['synthetic'],[1000],['RMSE'],[],[], used an active learning approach to train a neural network to approximate peak ground velocity. The active learning strategy reduces the demand for large training set. 
Hong,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],Response,Seismic Ground Response Estimation Based on Convolutional Neural Networks (CNN),Applied Sciences,['ANN'],['CNN'],[],[],['Supervised_Learning'],[],[],['time'],['field'],[12000],[],[],[]," *$* This study proposes two convolutional neural network (CNN) models to estimate the seismic response of the surface based on the seismic motion measured at 100 m level beneath the surface,"
Chiang,2021,Forward Modeling,Passive Seismology,Seismic Hazard,['Ground Motion Attribute Modeling'],Response,Neural Network-Based Strong Motion Prediction for On-Site Earthquake Early Warning,Sensors,['ANN'],"['CNN', 'FC']",[],"[32, 64, '?']",['Supervised_Learning'],[],[],['time'],['field'],[6900],"['precision', 'recall', 'F1-score']",[],[], *$* 
Lee,2002,Forward Modeling,Passive Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Neural-network-based models for generating artificial earthquakes and response spectra,Computers & Structures,['ANN'],['FC'],[],[6],['Supervised_Learning'],[],[],[],[],[],[],[],[], multiple ANN networks has been build for both forward and inverse problem of generating synthetic ground motion accelerograms and response spectra using neural networks.
Paolucci,2018,Forward Modeling,Passive Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Broadband Ground Motions from 3D Physics‐Based Numerical Simulations Using Artificial Neural Networks,BSSA,['ANN'],['FC'],[],[50],['Supervised_Learning'],"['SA', 'SA', 'SA', 'SA', 'SA']","['PGA', 'SA', 'SA', 'SA', 'SA']",['frequency'],[],[500],[],[],[]," high frequency extrapolation - developed a hybrid approach using a Neural Network (ANNs), trained on observed strong‐motion data to enrich the simulated time histories by a physics‐based method at short periods to generate broadband earthquake ground motions. combines high-fidelity numerical simulations and Artificial Neural Networks (ANN) to produce broadband (0–30 Hz) synthetic ground motion wave-forms. It thus meets the present need to transition from engineering seismology studies, limited at 10 Hz at most, towards structural dynamics analyses requiring realistic input motion up to 30 Hz. The procedure first uses the trained ANN to estimate the shortperiod spectral ordinates, using as input the long-period ones obtained by the earthquake simulator. Then it enriches these time histories at short periods by iteratively scaling their Fourier spectrum, with no phase change, until their response spectrum matches the ANN target spectrum. This approach accurately reproduces the engineering features of earthquake ground-motion both in terms of the peak values and their spatial correlation structure. However, the phases introduced to obtain the final broadband time-histories are random with no experimental or physics support"
Siahkoohi,2019,Forward Modeling,Active Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Neural network augmented wave-equation simulation,Geophysics,['ANN'],['CNN'],"['ResNet', 'GAN']",[],"['Supervised_Learning', 'Transfer_Learning']",[],[],['time'],[],[],[],[],[], showed that FD simulation can be accelerated by using convolutional neural networks and larger time steps.
Moseley,2020,Forward Modeling,Active Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Deep learning for fast simulation of seismic waves in complex media,Solid Earth Discussions,['ANN'],['CNN'],"['Autoencoder', 'WaveNet']","['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",['Supervised_Learning'],['2D faulted velocity model'],[' pressure responses at discrete receiver locations'],[],['synthetic'],[300000],[],[],['Finite-Difference']," @@  Used WaveNet (a deep neural network architecture for audio signal synthesizing) to simulate the response of acoustic seismic waves to a horizontally layered medium. To overcome the challenge of the domain difference between the input (i.e. velocity model in depth domain) and output (i.e. the waveform in time domain), 1D seismic velocity models are converted to normal incidence reflectivity time series and used as the input to the neural network to predict the pressure responses at the discrete receiver locations. This deep learning approach for seismic response simulation reduces the computation time by an order of magnitude compared with the traditional finite-difference approach. The second network (what is WRONGLY called conditional autoencoder) is significantly more general than the first and is able to simulates seismic waves in 2-D faulted acoustic media with arbitrary layers, fault properties and an arbitrary location of the seismic source on the surface of the media, using a CNN with encoder-decoder design. This network can perform an end-to-end mapping between a 2D velocity model and seismic waves in which the wave simulation is conditioned by a surfacial source position that is encoded into the low-dimension latent space of the network."
Rasht-Behesht,2021,Forward Modeling,Active Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Physics-informed Neural Networks (PINNs) for Wave Propagation and Full Waveform Inversions,arXive,['ANN'],['FC'],['PINN'],"['?', '?', '?', '?', '?']",['Supervised_Learning'],[],[],[],['synthetic'],[],[],[],['Finite-Difference'], *$* present an algorithm for PINNs applied to the 2D acoustic wave equation and test the model with both forward wave propagation and FWIs case studies.
Roncoroni,2021,Forward Modeling,Active Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Synthetic seismic data generation with deep learning,Journal of Applied Geophysics,['ANN'],"['CNN', 'RNN']",['LSTM'],"[257, 257, 257, 257]",['Supervised_Learning'],[],[],[],['synthetic'],[10000],[],[],[],similar to Modeley (above paper) generates acoustic synthetic data from 1D models of the subsurface.
Moseley,2020,Forward Modeling,Active Seismology,Computational Seismology,['Seismic Wave Simulation'], ,Solving the wave equation with physics-informed deep learning,arXive,['ANN'],['FC'],['PINN'],"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",['Supervised_Learning'],['a single point in time and space and the corisponding source location'],['an approximation of the wavefield solution at this location'],['time'],['synthetic'],[],[],[],[]," @@  showed that physics-informed deep neural networks can learn solving the wave equation for complex 2D media and generalize far beyond their training data set. In this scheme, a neural network is trained to solve the wave equation for a media that is implicitly defined in a loss function composed of a boundary condition and the wave equation. The network takes a single point in time and space and a corresponding source location as its inputs and outputs an approximation of the wavefield solution for the provided point. By training of the network for many different source locations, it would be able to generalize to new source locations during the inference time  without a need for retraining. This makes the approach much more efficient in computing arbitrary space-time points in the wavefield compared to traditional numerical simulation methods. to predict the acoustic wave response of a medium given a velocity model as input, forecast the next time step of a wavefield conditional on its history."
Song,2020,Forward Modeling,Active Seismology,Computational Seismology,['Seismic Wave Simulation'], ,SOLVING THE ACOUSTIC VTI WAVE EQUATION USING PHYSICS-INFORMED NEURAL NETWORKS,arXive,['ANN'],['FC'],['PINN'],"[256, 256, 128, 128, 64, 64, 32, 32, 16, 16, 8, 8]",['Supervised_Learning'],['spatial coordinates'],['real and imaginary parts of the scatterd pressure and auxiliary wavefields'],['frequency'],['synthetic'],[50000],[],[],['finite-difference']," @@ Used physics-informed neural networks (PINNs) to learn frequency-domain acoustic wavefield solutions for a variant of wave equation for transversely isotropic  media with a vertical axis of symmetry. They solved for the scatter of the pressure wavefield instead of the wavefield itself to avoid the point-source singularity issue. Here, separate models need to be trained for each velocity model and source location. The proposed approach has been tested for 2D, 3D isotropic and layers models and also for a velocity model with irregular topography. "
